subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV131,1,FALSE,0.7,0.7,1.4,0,0.5,0,0,0,0
DEV132,1,FALSE,0.7,1.4,5.7,7.1,0.5,1.1,0,3.2,2.2
DEV133,1,FALSE,0,0,0,0.7,0.5,0,0,0,1.1
DEV134,1,FALSE,0,0,0,0,0,0,0,0,0
DEV135,1,FALSE,1.4,0,0,0,2.4,1.1,0,0,0
DEV137,1,FALSE,0.7,2.8,4.3,3.5,0.5,0,2.2,0,0
DEV138,1,FALSE,0,2.1,5,2.8,1.4,2.2,2.2,3.2,5.4
DEV139,1,FALSE,0,0,0,2.8,0,0,0,1.1,0
DEV140,1,FALSE,0,0.7,0,0,0,3.2,1.1,0,0
DEV141,1,FALSE,0,0,0,0,0,0,0,0,0
DEV143,1,FALSE,2.1,0.7,2.1,0.7,4.2,7.5,6.5,2.2,7.5
DEV144,1,FALSE,0,2.8,0,0,0,0,2.2,1.1,0
DEV145,1,FALSE,2.1,1.4,9.9,0.7,NA,0,1.1,2.2,1.1
DEV145,1,TRUE,NA,NA,NA,NA,10.8,NA,NA,NA,NA
DEV147,1,FALSE,0,0,2.8,0,0,0,0,0,0
DEV149,1,FALSE,0,0,0,0,0.9,0,0,0,0
DEV150,1,FALSE,0.7,1.4,1.4,0.7,0,0,0,0,2.2
DEV151,1,FALSE,9.9,NA,NA,NA,2.8,NA,NA,8.6,NA
DEV151,1,TRUE,NA,17.7,40.4,29.8,NA,10.8,20.4,NA,21.5
DEV152,1,FALSE,0.7,1.4,0.7,2.1,0.9,0,5.4,3.2,0
DEV153,1,FALSE,0,0,NA,7.8,1.4,0,0,0,0
DEV153,1,TRUE,NA,NA,36.9,NA,NA,NA,NA,NA,NA
